"Date","WPU072A01013"
2009-12-01,100
2010-01-01,100
2010-02-01,100
2010-03-01,100
2010-04-01,100
2010-05-01,100
2010-06-01,105.2
2010-07-01,105.2
2010-08-01,105.2
2010-09-01,105.2
2010-10-01,105.2
2010-11-01,105.2
2010-12-01,105.2
2011-01-01,105
2011-02-01,105
2011-03-01,105
2011-04-01,105
2011-05-01,105
2011-06-01,122.1
2011-07-01,122.1
2011-08-01,122.1
2011-09-01,122.1
2011-10-01,122.1
2011-11-01,122.1
2011-12-01,122
2012-01-01,122
2012-02-01,122
2012-03-01,122
2012-04-01,133.2
2012-05-01,133.2
2012-06-01,133.2
2012-07-01,133.2
2012-08-01,128.9
2012-09-01,128.9
2012-10-01,128.9
2012-11-01,127.9
2012-12-01,127.9
2013-01-01,127.9
2013-02-01,127.9
2013-03-01,127.9
2013-04-01,128
2013-05-01,129.6
2013-06-01,129.6
2013-07-01,129.6
2013-08-01,129.7
2013-09-01,129.7
2013-10-01,129.7
2013-11-01,129.7
2013-12-01,129.7
2014-01-01,129.7
2014-02-01,148
2014-03-01,149.8
2014-04-01,150.7
2014-05-01,150.2
2014-06-01,150.2
2014-07-01,150.2
2014-08-01,150.2
2014-09-01,152.6
2014-10-01,154.2
2014-11-01,156.1
2014-12-01,156.1
2015-01-01,156.1
2015-02-01,155.9
2015-03-01,157.9
2015-04-01,157.9
2015-05-01,157.9
2015-06-01,157.9
2015-07-01,157.9
2015-08-01,157.9
2015-09-01,157.9
2015-10-01,157.9
2015-11-01,157.9
2015-12-01,157.9
2016-01-01,157.9
2016-02-01,157.3
2016-03-01,155
2016-04-01,155
2016-05-01,155.1
2016-06-01,154.1
2016-07-01,153
2016-08-01,152.1
2016-09-01,151.9
2016-10-01,154
2016-11-01,156.4
2016-12-01,155.2
2017-01-01,156.1
2017-02-01,156.3
2017-03-01,155.4
2017-04-01,160.9
2017-05-01,165
2017-06-01,160.7
2017-07-01,157.9
2017-08-01,158.8
2017-09-01,167
2017-10-01,167.4
2017-11-01,169.4
2017-12-01,173.9
2018-01-01,173.2
2018-02-01,169.3
2018-03-01,170
2018-04-01,171.4
2018-05-01,171.4
2018-06-01,NA
2018-07-01,172.2
2018-08-01,172.2
2018-09-01,172.2
2018-10-01,172.2
2018-11-01,172.2
2018-12-01,172.2
2019-01-01,174.8
2019-02-01,174.8
2019-03-01,174.8
2019-04-01,174.8
2019-05-01,174.5
2019-06-01,174.5
2019-07-01,174.5
2019-08-01,174.5
2019-09-01,174.5
2019-10-01,174.7
2019-11-01,174.7
2019-12-01,174.7
2020-01-01,174.7
2020-02-01,174.7
2020-03-01,174.7
2020-04-01,174.7
2020-05-01,174.7
2020-06-01,174.7
2020-07-01,174.7
2020-08-01,174.7
2020-09-01,181.6
2020-10-01,189.2
2020-11-01,189.2
2020-12-01,189.2
2021-01-01,190.2
2021-02-01,190.2
2021-03-01,190.2
2021-04-01,190.2
2021-05-01,190.2
2021-06-01,190.2
2021-07-01,191.703
2021-08-01,195.065
2021-09-01,195.065
2021-10-01,195.065
2021-11-01,195.065
2021-12-01,195.065
2022-01-01,197.161
2022-02-01,197.161
2022-03-01,197.161
2022-04-01,197.161
2022-05-01,197.161
2022-06-01,197.161
2022-07-01,197.161
2022-08-01,197.161
2022-09-01,197.161
2022-10-01,197.161
2022-11-01,197.161
2022-12-01,197.161
2023-01-01,197.161
2023-02-01,196.037
2023-03-01,196.195
2023-04-01,198.649
2023-05-01,198.649
2023-06-01,198.649
2023-07-01,198.652
2023-08-01,198.492
2023-09-01,198.492
2023-10-01,198.492
2023-11-01,198.492
