"Date","MJFUELUSGULF"
1990-04-01,0.54
1990-05-01,0.515
1990-06-01,0.494
1990-07-01,0.535
1990-08-01,0.791
1990-09-01,1.012
1990-10-01,1.196
1990-11-01,0.971
1990-12-01,0.803
1991-01-01,0.741
1991-02-01,0.637
1991-03-01,0.558
1991-04-01,0.552
1991-05-01,0.569
1991-06-01,0.547
1991-07-01,0.586
1991-08-01,0.623
1991-09-01,0.635
1991-10-01,0.671
1991-11-01,0.645
1991-12-01,0.522
1992-01-01,0.509
1992-02-01,0.543
1992-03-01,0.514
1992-04-01,0.543
1992-05-01,0.579
1992-06-01,0.615
1992-07-01,0.611
1992-08-01,0.59
1992-09-01,0.623
1992-10-01,0.621
1992-11-01,0.561
1992-12-01,0.544
1993-01-01,0.534
1993-02-01,0.553
1993-03-01,0.558
1993-04-01,0.551
1993-05-01,0.553
1993-06-01,0.526
1993-07-01,0.494
1993-08-01,0.501
1993-09-01,0.535
1993-10-01,0.568
1993-11-01,0.533
1993-12-01,0.446
1994-01-01,0.528
1994-02-01,0.501
1994-03-01,0.451
1994-04-01,0.469
1994-05-01,0.472
1994-06-01,0.493
1994-07-01,0.509
1994-08-01,0.498
1994-09-01,0.49
1994-10-01,0.509
1994-11-01,0.513
1994-12-01,0.487
1995-01-01,0.472
1995-02-01,0.467
1995-03-01,0.449
1995-04-01,0.5
1995-05-01,0.511
1995-06-01,0.478
1995-07-01,0.467
1995-08-01,0.496
1995-09-01,0.513
1995-10-01,0.502
1995-11-01,0.524
1995-12-01,0.553
1996-01-01,0.55
1996-02-01,0.557
1996-03-01,0.586
1996-04-01,0.617
1996-05-01,0.557
1996-06-01,0.516
1996-07-01,0.556
1996-08-01,0.615
1996-09-01,0.682
1996-10-01,0.703
1996-11-01,0.696
1996-12-01,0.693
1997-01-01,0.68
1997-02-01,0.619
1997-03-01,0.557
1997-04-01,0.541
1997-05-01,0.549
1997-06-01,0.523
1997-07-01,0.536
1997-08-01,0.559
1997-09-01,0.541
1997-10-01,0.571
1997-11-01,0.549
1997-12-01,0.496
1998-01-01,0.476
1998-02-01,0.449
1998-03-01,0.413
1998-04-01,0.426
1998-05-01,0.416
1998-06-01,0.389
1998-07-01,0.386
1998-08-01,0.372
1998-09-01,0.42
1998-10-01,0.42
1998-11-01,0.371
1998-12-01,0.304
1999-01-01,0.334
1999-02-01,0.309
1999-03-01,0.378
1999-04-01,0.43
1999-05-01,0.415
1999-06-01,0.44
1999-07-01,0.512
1999-08-01,0.564
1999-09-01,0.614
1999-10-01,0.595
1999-11-01,0.661
1999-12-01,0.701
2000-01-01,0.781
2000-02-01,0.78
2000-03-01,0.771
2000-04-01,0.719
2000-05-01,0.762
2000-06-01,0.785
2000-07-01,0.796
2000-08-01,0.9
2000-09-01,1.017
2000-10-01,0.982
2000-11-01,1.028
2000-12-01,0.863
2001-01-01,0.87
2001-02-01,0.815
2001-03-01,0.748
2001-04-01,0.77
2001-05-01,0.821
2001-06-01,0.767
2001-07-01,0.711
2001-08-01,0.764
2001-09-01,0.738
2001-10-01,0.622
2001-11-01,0.543
2001-12-01,0.515
2002-01-01,0.533
2002-02-01,0.551
2002-03-01,0.63
2002-04-01,0.669
2002-05-01,0.666
2002-06-01,0.653
2002-07-01,0.691
2002-08-01,0.722
2002-09-01,0.8
2002-10-01,0.79
2002-11-01,0.708
2002-12-01,0.811
2003-01-01,0.887
2003-02-01,1.055
2003-03-01,0.893
2003-04-01,0.743
2003-05-01,0.714
2003-06-01,0.748
2003-07-01,0.78
2003-08-01,0.823
2003-09-01,0.738
2003-10-01,0.82
2003-11-01,0.831
2003-12-01,0.876
2004-01-01,0.998
2004-02-01,0.933
2004-03-01,0.947
2004-04-01,0.973
2004-05-01,1.092
2004-06-01,1.032
2004-07-01,1.145
2004-08-01,1.227
2004-09-01,1.362
2004-10-01,1.52
2004-11-01,1.347
2004-12-01,1.223
2005-01-01,1.334
2005-02-01,1.334
2005-03-01,1.562
2005-04-01,1.573
2005-05-01,1.471
2005-06-01,1.654
2005-07-01,1.665
2005-08-01,1.874
2005-09-01,2.232
2005-10-01,2.398
2005-11-01,1.698
2005-12-01,1.727
2006-01-01,1.816
2006-02-01,1.754
2006-03-01,1.875
2006-04-01,2.074
2006-05-01,2.07
2006-06-01,2.081
2006-07-01,2.154
2006-08-01,2.133
2006-09-01,1.81
2006-10-01,1.739
2006-11-01,1.733
2006-12-01,1.81
2007-01-01,1.654
2007-02-01,1.74
2007-03-01,1.846
2007-04-01,2.036
2007-05-01,2.044
2007-06-01,2.099
2007-07-01,2.137
2007-08-01,2.092
2007-09-01,2.265
2007-10-01,2.372
2007-11-01,2.673
2007-12-01,2.601
2008-01-01,2.605
2008-02-01,2.728
2008-03-01,3.124
2008-04-01,3.365
2008-05-01,3.738
2008-06-01,3.878
2008-07-01,3.886
2008-08-01,3.271
2008-09-01,3.375
2008-10-01,2.315
2008-11-01,1.88
2008-12-01,1.375
2009-01-01,1.469
2009-02-01,1.259
2009-03-01,1.268
2009-04-01,1.369
2009-05-01,1.488
2009-06-01,1.805
2009-07-01,1.712
2009-08-01,1.885
2009-09-01,1.749
2009-10-01,1.942
2009-11-01,1.986
2009-12-01,1.979
2010-01-01,2.052
2010-02-01,1.989
2010-03-01,2.108
2010-04-01,2.243
2010-05-01,2.063
2010-06-01,2.058
2010-07-01,2.019
2010-08-01,2.083
2010-09-01,2.114
2010-10-01,2.248
2010-11-01,2.323
2010-12-01,2.453
2011-01-01,2.619
2011-02-01,2.839
2011-03-01,3.125
2011-04-01,3.267
2011-05-01,3.085
2011-06-01,3.046
2011-07-01,3.131
2011-08-01,3.008
2011-09-01,2.948
2011-10-01,2.966
2011-11-01,3.046
2011-12-01,2.873
2012-01-01,3.087
2012-02-01,3.207
2012-03-01,3.256
2012-04-01,3.226
2012-05-01,2.974
2012-06-01,2.678
2012-07-01,2.892
2012-08-01,3.156
2012-09-01,3.191
2012-10-01,3.111
2012-11-01,2.96
2012-12-01,2.94
2013-01-01,3.091
2013-02-01,3.218
2013-03-01,2.969
2013-04-01,2.808
2013-05-01,2.725
2013-06-01,2.769
2013-07-01,2.894
2013-08-01,3.003
2013-09-01,2.934
2013-10-01,2.885
2013-11-01,2.83
2013-12-01,2.955
2014-01-01,2.921
2014-02-01,2.965
2014-03-01,2.89
2014-04-01,2.888
2014-05-01,2.868
2014-06-01,2.883
2014-07-01,2.817
2014-08-01,2.839
2014-09-01,2.729
2014-10-01,2.46
2014-11-01,2.297
2014-12-01,1.801
2015-01-01,1.496
2015-02-01,1.766
2015-03-01,1.629
2015-04-01,1.702
2015-05-01,1.849
2015-06-01,1.732
2015-07-01,1.549
2015-08-01,1.389
2015-09-01,1.395
2015-10-01,1.391
2015-11-01,1.326
2015-12-01,1.082
2016-01-01,0.93
2016-02-01,0.973
2016-03-01,1.069
2016-04-01,1.147
2016-05-01,1.299
2016-06-01,1.382
2016-07-01,1.272
2016-08-01,1.295
2016-09-01,1.319
2016-10-01,1.457
2016-11-01,1.356
2016-12-01,1.491
2017-01-01,1.514
2017-02-01,1.547
2017-03-01,1.445
2017-04-01,1.51
2017-05-01,1.412
2017-06-01,1.295
2017-07-01,1.417
2017-08-01,1.561
2017-09-01,1.8
2017-10-01,1.659
2017-11-01,1.76
2017-12-01,1.817
2018-01-01,1.952
2018-02-01,1.849
2018-03-01,1.858
2018-04-01,2.015
2018-05-01,2.155
2018-06-01,2.09
2018-07-01,2.098
2018-08-01,2.118
2018-09-01,2.189
2018-10-01,2.249
2018-11-01,1.945
2018-12-01,1.696
2019-01-01,1.784
2019-02-01,1.914
2019-03-01,1.902
2019-04-01,1.977
2019-05-01,1.972
2019-06-01,1.817
2019-07-01,1.913
2019-08-01,1.8
2019-09-01,1.874
2019-10-01,1.861
2019-11-01,1.824
2019-12-01,1.893
2020-01-01,1.77
2020-02-01,1.509
2020-03-01,0.953
2020-04-01,0.606
2020-05-01,0.686
2020-06-01,0.983
2020-07-01,1.084
2020-08-01,1.112
2020-09-01,1.006
2020-10-01,1.047
2020-11-01,1.133
2020-12-01,1.324
2021-01-01,1.42
2021-02-01,1.601
2021-03-01,1.661
2021-04-01,1.669
2021-05-01,1.752
2021-06-01,1.857
2021-07-01,1.887
2021-08-01,1.817
2021-09-01,2.003
2021-10-01,2.296
2021-11-01,2.193
2021-12-01,2.095
2022-01-01,2.446
2022-02-01,2.682
2022-03-01,3.495
2022-04-01,3.914
2022-05-01,3.902
2022-06-01,4.12
2022-07-01,3.478
2022-08-01,3.339
2022-09-01,3.262
2022-10-01,3.715
2022-11-01,3.16
2022-12-01,2.897
2023-01-01,3.542
2023-02-01,2.79
2023-03-01,2.679
2023-04-01,2.374
2023-05-01,2.173
2023-06-01,2.25
2023-07-01,2.488
2023-08-01,2.989
2023-09-01,3.12
2023-10-01,2.881
2023-11-01,2.734
