"Date","WPSFD431"
2009-11-01,100
2009-12-01,99.9
2010-01-01,100
2010-02-01,100
2010-03-01,99.8
2010-04-01,100
2010-05-01,99.9
2010-06-01,99.9
2010-07-01,100
2010-08-01,99.9
2010-09-01,99.9
2010-10-01,100.3
2010-11-01,100.1
2010-12-01,100.2
2011-01-01,100.6
2011-02-01,100.6
2011-03-01,100.6
2011-04-01,101.5
2011-05-01,101.4
2011-06-01,101.4
2011-07-01,102.6
2011-08-01,102.6
2011-09-01,102.6
2011-10-01,104
2011-11-01,104.1
2011-12-01,104
2012-01-01,104.7
2012-02-01,104.7
2012-03-01,104.8
2012-04-01,105.3
2012-05-01,105.4
2012-06-01,105.4
2012-07-01,105.4
2012-08-01,105.4
2012-09-01,105.3
2012-10-01,105.6
2012-11-01,105.5
2012-12-01,105.6
2013-01-01,106.2
2013-02-01,106.1
2013-03-01,106.1
2013-04-01,106.5
2013-05-01,106.7
2013-06-01,106.7
2013-07-01,107.3
2013-08-01,107.3
2013-09-01,107.5
2013-10-01,108.9
2013-11-01,108.9
2013-12-01,109.1
2014-01-01,109.7
2014-02-01,109.7
2014-03-01,109.8
2014-04-01,110.1
2014-05-01,110.1
2014-06-01,110.2
2014-07-01,110.6
2014-08-01,110.7
2014-09-01,110.7
2014-10-01,111.3
2014-11-01,111.2
2014-12-01,111.4
2015-01-01,112
2015-02-01,112
2015-03-01,112
2015-04-01,111.9
2015-05-01,112
2015-06-01,112
2015-07-01,112.7
2015-08-01,112.7
2015-09-01,112.7
2015-10-01,113.7
2015-11-01,113.6
2015-12-01,113.6
2016-01-01,113.3
2016-02-01,113.2
2016-03-01,113.1
2016-04-01,114.2
2016-05-01,114.2
2016-06-01,114.2
2016-07-01,113.6
2016-08-01,113.6
2016-09-01,113.6
2016-10-01,114.6
2016-11-01,114.5
2016-12-01,114.5
2017-01-01,114.8
2017-02-01,114.9
2017-03-01,114.9
2017-04-01,115.5
2017-05-01,115.6
2017-06-01,115.7
2017-07-01,117.2
2017-08-01,117.2
2017-09-01,117.2
2017-10-01,117.9
2017-11-01,117.9
2017-12-01,118
2018-01-01,118.9
2018-02-01,119
2018-03-01,119
2018-04-01,120.4
2018-05-01,120.5
2018-06-01,120.8
2018-07-01,121.4
2018-08-01,121.5
2018-09-01,121.6
2018-10-01,123.9
2018-11-01,124.2
2018-12-01,124.3
2019-01-01,125.2
2019-02-01,125.2
2019-03-01,125.3
2019-04-01,127
2019-05-01,127.1
2019-06-01,127.1
2019-07-01,128.1
2019-08-01,128.1
2019-09-01,128.3
2019-10-01,128.8
2019-11-01,128.9
2019-12-01,129
2020-01-01,129.7
2020-02-01,129.9
2020-03-01,129.8
2020-04-01,130.5
2020-05-01,130.5
2020-06-01,130.4
2020-07-01,131.1
2020-08-01,130.8
2020-09-01,130.6
2020-10-01,130.6
2020-11-01,130.7
2020-12-01,130.7
2021-01-01,131.1
2021-02-01,131.3
2021-03-01,131.9
2021-04-01,133.7
2021-05-01,134.6
2021-06-01,134.7
2021-07-01,137.196
2021-08-01,137.556
2021-09-01,137.772
2021-10-01,147.209
2021-11-01,147.757
2021-12-01,148.195
2022-01-01,153.666
2022-02-01,154.632
2022-03-01,155.532
2022-04-01,161.477
2022-05-01,162.062
2022-06-01,163.025
2022-07-01,172.019
2022-08-01,172.298
2022-09-01,172.658
2022-10-01,177.229
2022-11-01,177.358
2022-12-01,177.474
2023-01-01,180.849
2023-02-01,180.876
2023-03-01,181.016
2023-04-01,180.752
2023-05-01,180.975
2023-06-01,181.049
2023-07-01,178.756
2023-08-01,178.963
2023-09-01,179.097
2023-10-01,178.326
2023-11-01,177.922
